row_number,text,classification
0,"""Claire Denis's Chocolat is a beautiful but frustrating film. The film presents a very interesting look at the household of a European colonial family living in Cameroon, giving the viewer an informative perspective on the lives of many characters and their interaction. However, the development of these characters is often maddeningly insufficient. For example, a central theme in the story is young France's inability to form strong relationships with others. Although this portrayal is executed flawlessly, notably in the way that Denis frames the story with scenes from France's return to her childhood home, the girl's lack of intimacy with the film's other characters makes it difficult for a viewer to invest much interest in her development (or lack thereof) as a protagonist. The general stagnation of the film's character development makes it difficult to become engaged in the loosely organized plot. The film raises a great deal of tension between characters, particularly between Aimee and the men in her life, but never fully addresses this social friction, leaving the viewer unsatisfied. The final few scenes are powerful but depressing. Denis's work is certainly interesting from an intellectual and historical standpoint, but if you are looking for a film with adventure or drama, Chocolat is definitely not the best choice.""",2
1,"""I love this movie, but the music at all the alumni gatherings is just stupid.<br /><br />The fateful game took place in 1972. That means that the protagonists graduated in 1972. But almost all of the music played at the dances etc. is from the 1950s and very early 1960s.<br /><br />Having just attended my 30th high school reunion, I can assure you that the last music to be played at a reunion or dance of former high school people is their parents' music.<br /><br />I understand the difficulty of finding relevant 1970s music -- we all know what a desolate time it was musically. But it wasn't completely bereft, and the producers of the film should have taken more care. I found those dance scenes very jarring to my otherwise willing suspension of disbelief in the rest of the film.<br /><br />This was a bad director and/or producer decision.""",2
2,"""- After their sons are sentenced to life in prison, Adelle (Debbie Reynolds) and Helen (Shirley Winters) begin receiving threatening phone calls because someone fells their sons got off easy. The pair decides to move to California to escape the publicity of the trial and to start a new life. They start a dance school that is soon very successful. One of the students has a rich unmarried father with whom Adelle quickly falls in love. In the meantime, Helen is busy raising rabbits and becoming a little too infatuated with an evangelist on the radio. It's only a mater of time before everything falls apart and the women enter a world of madness and murder.<br /><br />- I can't help but compare What's the Matter with Helen? to Whoever Slew Auntie Roo?, also starring Shelly Winters. Where that movie seemed almost restrained in its presentation of Auntie Roo's madness, there's nothing holding Helen back in this movie. It may take a good deal of the movie's running time, but once she snaps, Helen is one Bad Mad Mutha. You don't want to mess with her. Winters is so delightfully demented that it was impossible for me not to enjoy her performance. I'm not going to spoil the movie, but the things Helen is capable of are totally over-the-top.<br /><br />- As good as Winters is, Reynolds is totally ridiculous in her role as the gold-digging tap dancer. I got the impression that she thought she was in a movie that would get her nominated for some award. This ain't Citizen Kane! Quit acting so serious. Hey, Debbie, don't you realize that you're main purpose is to be a victim of Winters' insanity.<br /><br />- I just love these former-female-stars-in-the-twilight-of-their-career horror movies. What's the Matter with Helen? is as fun as any.""",2
3,"""At first I didn't didn't like it that much, although I did. They didn't include the third Trueba generation, the love between Blanca and Pedro wans't well explained and some actors were too different from what I had imagined.<br /><br />Later I realized that, had the movie been more loyal to the book, it would have been like five hours long, and would be kind of tedious. Now I like it very much, because my favourite characters are there as I portraited them. Clara really looks like an Angel in live, and her introduction to the story at the beggining of the film was fantastic, loyal and short. Glenn Close is Ferula. I pictured her just like that, only not in mourning throughout the whole thing. Esteban is find enough. I never really liked his character, and, although I was interested in him, I hated him a lot, more specially when he hit Clara. As in the book, the very last part is the most exciting one, and it has real history too there.<br /><br />The movie is really good, specially considering that it was a gringo film based upon a latin american book. Its amazing how many famous stars are there, don't you think so?""",2
4,"""What's Good About It: Some inventive and genuinely creepy little effects that will get under the skin of even the most seasoned horror fan. Doesn't rely on the hackneyed soundtrack stabs for its ""gotcha"" moments. Even if you've seen everything, there's still a few things in this film that will make your jaw drop.<br /><br />What Could Have Been Better About It: The acting was, at times, flat and unconvincing. It had a ""shot-on-video"" quality in some places (though,it mostly achieved the atmosphere it was striving for), and the camera work is full of needless close-ups of meaningless actions. Though the effects are genuinely creepy, I think they may have gone to the well a few too many times with some of them. The ending seemed rushed, and glossed over what could have been more impactful moments. The viewer is left to figure out a lot of things for themselves, not as a challenge by the filmmakers, but because they just missed it.<br /><br />Still, a good little indie horror film that is easily several steps above the average. Well worth the rental.""",2
5,"""I've read some terrible things about this film, so I was prepared for the worst. ""Confusing. Muddled. Horribly structured."" While there may be merit to some of these accusations, this film was nowhere near as horrific as your average DVD programmer. In fact, it actually had aspirations. It attempted something beyond the typical monster/slasher nonsense. And by god, there are some interesting things going on.<br /><br />Ms. Barbeau is a miracle to behold. She carries the film squarely on her shoulders.<br /><br />This is not to say that it's a masterpiece. UNHOLY ultimately collapses under the weight of its own ambition. There are just too many (unexplained) subplots trying to coexist. And the plot loopholes created by time travel are never really addressed: for example, if Hope knows that her mother is evil and that she will ultimately kill her brother, then why doesn't she just kill Ma in the film's very first sequence? Seems like it would have beat the hell out of traveling into the future to do it.<br /><br />Still, I give UNHOLY points for trying. A little ambition is not a bad thing.""",2
6,"""It was considered to be the ""Swiss answer to the Lord of the Rings"", but it is much more than that. It isn't an answer to anything, it's in itself something new, something funny and sometimes it's downright stupid and silly - but was Monty Python any different than silly?<br /><br />The beginning immediately makes the statement that this film is low budget and not meant to be taken entirely seriously. Cardboard clouds on strings knock into the airplane in which the main character is seated. But, to compensate the missing special effects, the landscape does the trick. It is absolutely beautiful and stunning - who needs New Zealand, Switzerland has it all. <br /><br />What I liked about the film was the simple approach and the obvious passion and energy that went into it. It isn't brilliant; yet it's got some good humorous parts. Edward Piccin as Friedo is absolutely convincing, it would be enough to go and see the film because of him!There are some good jokes, some of them are very lame, some of them won't be understood by people outside of Switzerland. I liked the idea of having ""Urucows"" instead of Uruk Hai; I loved the scene where Friedo decides to take ""Pupsi"", a telehobbie, with him on the journey. Also very funny is the scene when Rackaroll, the sword-fighting knight, decides to show off with his sword - and subsequently smashes it into a wall, breaking it. And there is this one scene where the ""nazgul-ish"" characters do a wonderfully comic scene that includes a toilet brush... I didn't approve of the idea of the Ring being used by Schleimli, the ""Gollum"" character, in order to ""seduce"" the ladies. That was a bit far fetched. The idea of Lord Sauraus wanting to cover the lands with fondue wasn't that brilliant either. Original, certainly, but not brilliant. But most of all did I dislike the idea of a gay dragon, that really wasn't necessary. All in all I recommend to see the film simply because it is so crazy and totally trashy. Don't expect a LotR parody like ""Spaceballs"" was for Star Wars. But if you go to the flicks thinking that this is going to be an amusing evening out, with absolutely no ambitions, then you'll enjoy. I am not sure if it works in other languages, because it does live from the Swiss dialects as well as from the jokes and actors.<br /><br />All in all: hat off to the courage of the Swiss crew who did that!""",2
7,"""Pendragon Pictures' new film ""H G Wells' War of the Worlds"", the first faithful adaptation of the original novel, has been in development for about 5 years. A theatrical release was intended for earlier this year (March, 2005) but this never happened. The DVD was rushed out to coincide with the release of Spielberg's version, which hits theatres June 29.<br /><br />I liked this film, with certain reservations.<br /><br />How faithful is the adaptation? It's not quite 100% faithful to Wells' book, but 90 - 95% faithful is good enough for me. At least several scenes were totally new, such as Ogilvy the astronomer's confrontation with a farmer, and the unnamed writer/narrator awkwardly having tea with his cousin. But on the whole, this film follows the book very closely -- certainly much more than the classic 1953 version by George Pal.<br /><br />Its greatest fault is that it was obviously made on a very cheap budget. The majority of it seems to have been shot blue-screen and composited with digitally rendered backgrounds. This is particularly annoying during most of the interior shots, and scenes of crowded city streets. The overviews of 1898 London look like something from a video game. Numerous scenes in horse-carriages were faked -- I guess they couldn't afford to rent a horse. The only scenes shot for ""real"" seem to be those in open fields or forests.<br /><br />But within those budget restrictions, they managed to do quite a lot. Artistically, the film looks right. The Martians and their tripods are quite well done, and very true to Wells' descriptions. I was particularly impressed with the heat ray. Although the Thunder Child sequence, which should have been one of the film's highlights, is very disappointing. It's a great shame that they couldn't afford more actual sets, or better quality animation.<br /><br />The acting and direction won't win any Oscars. For the most part, they are competent, not bad, but not outstanding. The music is quite good also, though not on a par with any of the major Hollywood composers.<br /><br />I'm actually glad this didn't get a theatrical release, because the budget limitation would have made it look much worse on a big screen. As it stands, I would rate this similarly to a BBC-TV adaptation of classic literature.<br /><br />A few nitpicks: Most of the scenes are presented with various colored filters (mostly red). This may have been an artistic choice, but it is used very inconsistently, and seems more like a sloppy job of mastering the DVD. And the writer/narrator's obviously fake moustache mutates from scene to scene.<br /><br />Bottom line -- Is it worth seeing? If you can look past the technical and budgetary limitations, and get into the story, I think you will enjoy this, especially if you've actually read the original H G Wells novel. If, however, you are easily put off by cheap production values, you'd best pass on this (unless you're a MST3K fan). Be warned, however that the film runs a full 3 hours, so I don't recommend watching it all in one sitting.<br /><br />BTW: An entirely different version of War of the Worlds (aka ""INVASION"") came out on DVD the same month that Spielberg's hit the theatres: http://imdb.com/title/tt0449040/. This was also made on a budget, but is updated to the present day like the Spielberg film - but it's much better! And to top it off, Jeff Wayne is making an animated film of his best-selling album from 1978, but that won't be out until 2007.""",2
8,"""It could have been better had it been directed by someone with more experience. Shumlin didn't do a bad job but it is not a great work of cinematic art.<br /><br />It is, however, a beautiful movie. I have loved it since local channels used to show it. Graham Greene is one of my favorite writers of the last century. Some pretty bad movies were made from his novels and stories. (Many love ""The Fallen Idol"" but I am not among them. I think I saw ""Brighton Rock"" once many years ago and liked it but maybe I'm simply thinking fondly of the novel.) This is superbly cast. Charles Boyer does not, it's true, come across as Spanish. But he seems to have the perfect temperament for this character -- tired, wary, caring. Lauren Bacall is appealing as the British girl who falls for him. But the supporting players are the best: Katina Paxinou is excellent. Her performance is a little Grand Guignol, but I attribute that to the director. Peter Lorre, whom we first meet as he gives Boyer a lesson in an Esperanto-like universal language, is excellent -- as always.<br /><br />And Wanda Hendrix could break the hardest heart. She comes across as a precocious early teenager. The character wants to be helpful. She does her best.<br /><br />I recommend this movie highly. Not without reservations. The reservation is, primarily, that it is a little stolid. But the story and acting can scarcely be bettered.""",2
9,"""As incredible as it may seem, Gojoe is an anime- and Hong Kong-inspired samurai action flick with a pacifistic message. This ankle of the film is effectively portrayed through the protagonist (a great acting job done by Daisuke Ryu), a killer-turned-to-boddhist-monk Benkei. Benkei has sworn never to kill again, but he still takes up the sword to fight what he thinks is a demon invasion...<br /><br />Gojoe is a film difficult to rate. It's visual imagery is stunningly crafted and beautiful, but it uses too much trickery (circling camera and high speed drives, expressionistic shots, leeched colors, digital effects etc.), so the end result is somewhat tiring. That said, the beginning and the ending of the film are nevertheless both elegant and powerful. If only the director Sogo Ishii would have been wise enough not to overuse his bag of tricks.<br /><br />Other problem with Gojoe is the amount of violence. For a film with such an anti-violent message Gojoe wastes way too much energy and screen time to depict the endless battle scenes. Also, the way the violence is shown is always on the edge of being self-indulgent; in fact, a blood shower against the night sky seems to be one of the films signature images. Luckily, Ishii is wise enough to show the ugly, tragic side of violence as well. Still, it seems that Ishii is not sure whether he's making a traditional action film or a deeply moral allegory. The audience can't be sure of this, either, until the very end of the film. The powerful (albeit cynical) ending is what saves Gojoe; it clearly emphasizes that this film is something more than a mere gore-fest.""",2
